,mean_ret,std_ret,total_ret,IR,SR,max_dd,max_dd_period,risk,cov
0,0.00415023961851,0.0431918632757,1.14608250584,-0.0979927090819,0.247803580091,-0.408367563451,27.0,10,0.000887292783288
0,0.00359818629924,0.0408902259078,0.938794288442,-0.144375926111,0.214936080463,-0.363048081502,29.0,20,0.000471934206534
0,0.00350250454923,0.0336065596745,0.90495966868,-0.173661438934,0.251782006039,-0.278486639276,18.0,30,0.000300523370852
0,0.00349196768272,0.0290184680607,0.901269942372,-0.188942254204,0.290426317512,-0.24321972928,11.0,40,0.000219275073654
0,0.00325991819257,0.0261413471741,0.821799861734,-0.223012663787,0.291694974638,-0.232921958325,14.0,50,0.000169739173195
0,0.0031733958703,0.0237022274684,0.793026259596,-0.240311726223,0.309076316182,-0.226311936497,14.0,60,0.000137825402256
0,0.00322470371168,0.0215814073751,0.810033734499,-0.241358091225,0.347695321984,-0.222465484212,14.0,70,0.000116473223779
0,0.00334108540995,0.0200106835027,0.849212209012,-0.232857557157,0.395158647881,-0.222831949843,14.0,80,0.000100933678728
0,0.00348501829143,0.0188907962547,0.898840364984,-0.219004613576,0.444998096505,-0.223133511367,13.0,90,8.96533315068e-05
0,0.00349838632741,0.0179972387616,0.903516726897,-0.219710006212,0.469761708506,-0.222760957622,13.0,100,8.11418348218e-05
